model,source_category,n,reliable_n,em,override_rate,mean_pcs_override,mean_pcs_faithful,pcs_direction
gemma,confiqa,328,True,0.07926829268292683,0.8414634146341463,-7.158464555289493,-5.2487418147211535,override<faithful
gemma,natural_rag_other,439,True,0.5649202733485194,0.3211845102505695,-3.198347698705674,-1.5642608433057048,override<faithful
gemma,popqa,108,True,0.3148148148148148,0.3888888888888889,-3.344982936269047,-4.954764824930304,override>faithful
llama,confiqa,328,True,0.11585365853658537,0.7591463414634146,-6.6071159638554215,-4.736550632911392,override<faithful
llama,natural_rag_other,439,True,0.4145785876993166,0.510250569476082,-2.9675085885183035,-1.4237367142065116,override<faithful
llama,popqa,108,True,0.21296296296296297,0.5370370370370371,-3.394261853448276,-4.0221875,override>faithful
